country,year,value,indicator
AUS,1988,0.476685,GGXCNL_NGDP
AUS,1989,0.923528,GGXCNL_NGDP
AUS,1990,-0.231331,GGXCNL_NGDP
AUS,1991,-2.78423,GGXCNL_NGDP
AUS,1992,-4.738213,GGXCNL_NGDP
AUS,1993,-4.720031,GGXCNL_NGDP
AUS,1994,-3.787084,GGXCNL_NGDP
AUS,1995,-2.598723,GGXCNL_NGDP
AUS,1996,-1.453672,GGXCNL_NGDP
AUS,1997,-0.49219,GGXCNL_NGDP
AUS,1998,-0.245301,GGXCNL_NGDP
AUS,1999,0.66453,GGXCNL_NGDP
AUS,2000,1.248002,GGXCNL_NGDP
AUS,2001,-0.030201,GGXCNL_NGDP
AUS,2002,0.192234,GGXCNL_NGDP
AUS,2003,1.049103,GGXCNL_NGDP
AUS,2004,1.321003,GGXCNL_NGDP
AUS,2005,1.703999,GGXCNL_NGDP
AUS,2006,1.768211,GGXCNL_NGDP
AUS,2007,1.471534,GGXCNL_NGDP
AUS,2008,-1.097632,GGXCNL_NGDP
AUS,2009,-4.547464,GGXCNL_NGDP
AUS,2010,-5.100119,GGXCNL_NGDP
AUS,2011,-4.51126,GGXCNL_NGDP
AUS,2012,-3.495881,GGXCNL_NGDP
AUS,2013,-2.797644,GGXCNL_NGDP
AUS,2014,-2.905936,GGXCNL_NGDP
AUS,2015,-2.775346,GGXCNL_NGDP
AUS,2016,-2.414738,GGXCNL_NGDP
AUS,2017,-1.71151,GGXCNL_NGDP
AUS,2018,-1.254003,GGXCNL_NGDP
AUS,2019,-4.392028,GGXCNL_NGDP
AUS,2020,-8.704384,GGXCNL_NGDP
AUS,2021,-6.351384,GGXCNL_NGDP
AUS,2022,-2.205895,GGXCNL_NGDP
AUS,2023,-1.26333,GGXCNL_NGDP
AUS,2024,-2.251354,GGXCNL_NGDP
AUS,2025,-2.782384,GGXCNL_NGDP
AUS,2026,-2.43368,GGXCNL_NGDP
AUS,2027,-2.051975,GGXCNL_NGDP
AUS,2028,-1.882569,GGXCNL_NGDP
AUS,2029,-1.656901,GGXCNL_NGDP
AUS,2030,-1.481802,GGXCNL_NGDP
AUS,2031,-1.447559,GGXCNL_NGDP
CAN,1980,-4.043445,GGXCNL_NGDP
CAN,1981,-2.892295,GGXCNL_NGDP
CAN,1982,-6.898328,GGXCNL_NGDP
CAN,1983,-7.998035,GGXCNL_NGDP
CAN,1984,-7.939851,GGXCNL_NGDP
CAN,1985,-8.757327,GGXCNL_NGDP
CAN,1986,-7.321649,GGXCNL_NGDP
CAN,1987,-5.745766,GGXCNL_NGDP
CAN,1988,-4.51097,GGXCNL_NGDP
CAN,1989,-4.718283,GGXCNL_NGDP
CAN,1990,-5.911422,GGXCNL_NGDP
CAN,1991,-8.359398,GGXCNL_NGDP
CAN,1992,-9.199149,GGXCNL_NGDP
CAN,1993,-8.934765,GGXCNL_NGDP
CAN,1994,-6.935978,GGXCNL_NGDP
CAN,1995,-5.48964,GGXCNL_NGDP
CAN,1996,-3.052566,GGXCNL_NGDP
CAN,1997,0.038702,GGXCNL_NGDP
CAN,1998,0.142683,GGXCNL_NGDP
CAN,1999,1.655576,GGXCNL_NGDP
CAN,2000,2.639704,GGXCNL_NGDP
CAN,2001,0.529469,GGXCNL_NGDP
CAN,2002,-0.233896,GGXCNL_NGDP
CAN,2003,-0.126958,GGXCNL_NGDP
CAN,2004,0.76767,GGXCNL_NGDP
CAN,2005,1.55312,GGXCNL_NGDP
CAN,2006,1.827604,GGXCNL_NGDP
CAN,2007,1.819656,GGXCNL_NGDP
CAN,2008,0.184425,GGXCNL_NGDP
CAN,2009,-3.881352,GGXCNL_NGDP
CAN,2010,-4.737559,GGXCNL_NGDP
CAN,2011,-3.308733,GGXCNL_NGDP
CAN,2012,-2.524517,GGXCNL_NGDP
CAN,2013,-1.494706,GGXCNL_NGDP
CAN,2014,0.174896,GGXCNL_NGDP
CAN,2015,-0.061846,GGXCNL_NGDP
CAN,2016,-0.453164,GGXCNL_NGDP
CAN,2017,-0.112443,GGXCNL_NGDP
CAN,2018,0.359891,GGXCNL_NGDP
CAN,2019,-0.017289,GGXCNL_NGDP
CAN,2020,-10.949067,GGXCNL_NGDP
CAN,2021,-3.05712,GGXCNL_NGDP
CAN,2022,0.616656,GGXCNL_NGDP
CAN,2023,-0.162417,GGXCNL_NGDP
CAN,2024,-2.121567,GGXCNL_NGDP
CAN,2025,-1.765488,GGXCNL_NGDP
CAN,2026,-2.671754,GGXCNL_NGDP
CAN,2027,-2.488573,GGXCNL_NGDP
CAN,2028,-2.211371,GGXCNL_NGDP
CAN,2029,-1.985146,GGXCNL_NGDP
CAN,2030,-1.731006,GGXCNL_NGDP
CAN,2031,-1.523743,GGXCNL_NGDP
CZE,1995,-12.27775,GGXCNL_NGDP
CZE,1996,-2.976112,GGXCNL_NGDP
CZE,1997,-3.136465,GGXCNL_NGDP
CZE,1998,-4.138626,GGXCNL_NGDP
CZE,1999,-3.080438,GGXCNL_NGDP
CZE,2000,-3.546943,GGXCNL_NGDP
CZE,2001,-5.757235,GGXCNL_NGDP
CZE,2002,-6.344912,GGXCNL_NGDP
